source,target
com.splendo.kaluga:test-utils-alerts-androidlib:1.4.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.3.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.3.1,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.2.3,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.2.1,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.2.2,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.2.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.4.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.3.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.1.11,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-androidlib:0.1.10,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.1.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.2.1,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.2.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:1.0.0,com.splendo.kaluga:alerts-androidlib
com.splendo.kaluga:test-utils-alerts-androidlib:0.5.0,com.splendo.kaluga:alerts-androidlib
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.application.management.v1:1.2.11,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.200,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.206,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.184,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.185,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.186,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.187,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.188,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.189,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.190,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.191,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.193,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.197,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.192,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.199,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:5.25.706,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.43,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.cors.v1:1.2.198,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.44,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.42,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.45,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.10,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.15,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.18,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.13,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.16,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.19,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.12,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.20,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.17,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.server.feature:7.2.14,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.cors.mgt.core
